,Назва,Правовий статус,ЄДРПОУ,Кількість осіб,Класи наслідків,Посилання
103,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНО-ВИШУКУВАЛЬНИЙ ІНСТИТУТ ""НДІПРОЕКТРЕКОНСТРУКЦІЯ""",Юридична особа,04653199,78,"['СС1', 'СС2', 'СС3']",/organizations_detail/3265688080215967362?org_type=1
104,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІВДЕНЬЕКСПЕРТПРОЕКТ""",Юридична особа,40453762,16,"['СС1', 'СС2', 'СС3']",/organizations_detail/3317076890602177576?org_type=1
105,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКСПЕРТ ПРОЕКТ ГРУП""",Юридична особа,41403089,23,"['СС1', 'СС2', 'СС3']",/organizations_detail/2707420013945423210?org_type=1
106,"ТОВ ""ІСБ-ЕКСПЕРТИЗА""",Юридична особа,45658858,3,['СС1'],/organizations_detail/3419874106105923301?org_type=1
107,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКСПЕРТИЗА ЮА""",Юридична особа,45251504,23,[],/organizations_detail/3500274234335167682?org_type=1
108,"Товариство з обмеженою відповідальністю ""НОВА-ЕКСПЕРТ""",Юридична особа,44608764,26,"['СС1', 'СС2', 'СС3']",/organizations_detail/2923502891857610736?org_type=1
109,"ТОВ ""Укрекспертбудпроект""",Юридична особа,41839133,13,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410109?org_type=1
110,"ТОВ ""ДН-Консалтинг""",Юридична особа,35114747,30,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410098?org_type=1
111,"Вінницька обласна комунальна установа ""Служба технічного нагляду за об'єктами житлово-комунального господарства""",Юридична особа,34213875,16,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410102?org_type=1
112,"ТОВ ""ЕКСПЕРТ ЛАЙН""",Юридична особа,41399518,37,[],/organizations_detail/3517120592388031654?org_type=1
113,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІНБУД-ЕКСПЕРТ""",Юридична особа,41339375,22,[],/organizations_detail/3488700643357493116?org_type=1
114,"ТОВ ""Українська міжрегіональна будівельна експертиза",Юридична особа,39330499,18,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508198798721?org_type=1
115,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГЕНТСТВО БУДІВЕЛЬНИХ ЕКСПЕРТИЗ""",Юридична особа,40781774,33,"['СС1', 'СС2', 'СС3']",/organizations_detail/2636329663143610328?org_type=1
116,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ВЕСТ БУД ЕКСПЕРТИЗА»,Юридична особа,44966795,15,[],/organizations_detail/3483561813268760487?org_type=1
117,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІНСТРАТЕГІЯ-БУДТЕХЕКСПЕРТИЗА""",Юридична особа,41754480,20,"['СС1', 'СС2', 'СС3']",/organizations_detail/3432909795311486543?org_type=1
118,"Товариство з обмеженою відповідальністю ""УК ЕКСПЕРТИЗА""",Юридична особа,42431096,29,"['СС1', 'СС2', 'СС3']",/organizations_detail/2682159770424575313?org_type=1
119,ТОВ «Центр комплексних експертиз проектів»,Юридична особа,43598352,21,"['СС1', 'СС2', 'СС3']",/organizations_detail/2512503685288822416?org_type=1
120,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКСПЕРТНА КОМПАНІЯ ""ОСНОВА""",Юридична особа,45047630,35,"['СС1', 'СС2', 'СС3']",/organizations_detail/3129346963183503242?org_type=1
121,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ВІНПРОЕКТПРОМКОМПЛЕКС""",Юридична особа,33685223,3,[],/organizations_detail/2283351178609689980?org_type=1
122,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОСПЕР КБЗ""",Юридична особа,37189882,6,['СС1'],/organizations_detail/2687106207813994099?org_type=1
123,"ТОВ ""Українська будівельно-технічна експертиза""",Юридична особа,39190177,49,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410100?org_type=1
124,"Товариство з обмеженою відповідальністю ""Вітрувій Експерт""",Юридична особа,43258183,24,"['СС1', 'СС2', 'СС3']",/organizations_detail/2734326279783319305?org_type=1
125,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНА ДЕРЖАВНА ЕКСПЕРТНА ОРГАНІЗАЦІЯ-ЦЕНТРАЛЬНА СЛУЖБА УКРАЇНСЬКОЇ ДЕРЖАВНОЇ БУДІВЕЛЬНОЇ ЕКСПЕРТИЗИ""",Юридична особа,35691621,172,[],/organizations_detail/3161212977261053618?org_type=1
126,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БУДЕКСПЕРТ-ІФ""",Юридична особа,42845258,5,[],/organizations_detail/3565674825735210675?org_type=1
127,"Товариство з обмеженою відповідальністю ""ЕКОЕКСПЕРТИЗА""",Юридична особа,44525374,18,"['СС1', 'СС2', 'СС3']",/organizations_detail/2734324729333679394?org_type=1
